Measurement,Time
0,0.001745
1,0.000935
2,1.259123
3,3.959177
4,2.862727
5,3.983237
6,3.992735
7,3.995248
8,3.808479
9,3.978211
10,4.026699
11,3.998884
12,5.83262
13,1.99448
14,5.991158
15,1.997757
16,2.852214
17,3.972484
18,3.996009
19,3.992047
20,2.847887
21,3.984205
22,3.996546
23,3.993016
24,2.845637
25,3.977546
26,3.995461
27,4.042599
28,3.814814
29,4.002333
30,3.998068
31,4.027477
32,2.838558
33,3.987187
34,3.987546
35,3.984977
36,3.853884
37,3.939557
38,4.015693
39,3.985103
40,3.84328
41,4.980383
42,2.985713
43,3.9921
44,3.832848
45,3.96784
46,4.019817
47,3.956866
48,3.848863
49,2.990219
50,3.963758
51,4.000289
52,2.839162
53,3.980071
54,3.984829
55,3.995842
56,3.844214
57,3.993869
58,3.941369
59,4.040463
60,3.837471
61,3.96077
62,3.99764
63,4.010709
64,2.824424
65,4.004009
66,4.007986
67,4.027389
68,3.828089
69,3.990024
70,4.960993
71,3.010297
72,2.823976
73,3.99626
74,3.986714
75,4.003309
76,3.850493
77,4.962409
78,3.022741
79,3.971992
80,2.88584
81,3.94066
82,4.006906
83,4.002694
84,3.855891
85,3.970721
86,4.00055
87,5.140662
88,3.844802
89,3.975989
90,3.996747
91,3.970093
92,2.854226
93,3.981874
94,4.994069
95,2.969622
96,3.824246
97,3.979902
98,3.966149
99,4.132926
100,3.848469
101,4.959296
102,2.993384
103,3.964218
104,3.936414
105,3.912982
106,3.969579
107,4.044623
108,3.849481
109,3.977682
110,3.990077
111,3.931771
112,1.821554
113,4.003746
114,3.96256
115,4.011534
116,2.841042
117,4.11964
118,3.984661
119,4.025754
120,3.813514
121,4.031536
122,3.948427
123,4.000109
124,2.823048
125,3.973901
126,3.987093
127,4.005444
128,3.824734
129,3.979129
130,3.985546
131,3.948482
132,2.821288
133,3.977719
134,3.989379
135,4.142638
136,2.782787
137,4.041425
138,3.980626
139,4.092774
140,2.844864
141,3.981392
142,3.98778
